DEBUG get_query: SELECT value FROM swat_s1 WHERE name = ? AND pid = ?
DEBUG set_query: UPDATE swat_s1 SET value = ? WHERE name = ? AND pid = ?
DEBUG EnipProtocol server addr:  192.168.1.30
DEBUG: concatenating server address with default port.
DEBUG enip _start_server cmd:  ['/usr/bin/python3', '-m', 'cpppo.server.enip', '--no-print', '--log', 'logs/protocols_tests_enip_server', '--address', '192.168.1.30:44818', 'LIT301:3=REAL']
DEBUG: swat-s1 plc3 enters pre_loop
DEBUG: swat-s1 plc3 enters main_loop.
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
DEBUG PLC3 - get lit301: 0.500000
